n,TotalOps,Assignments,ArrayLookups,Comparisons,Arithmetic,MethodCalls,Returns
5797,1445296414,436943073,403308869,134478807,470565662,1,1
5798,1445795049,437093822,403448018,134525197,470728009,1,1
5799,1446293770,437244597,403587191,134571595,470890385,1,1
5800,1446792571,437395396,403726386,134618001,471052785,1,1
5801,1447291479,437546226,403865612,134664415,471215223,1,1
5802,1447790443,437697075,404004852,134710837,471377676,1,1
5803,1448289502,437847953,404144119,134757267,471540161,1,1
5804,1448788659,437998859,404283414,134803705,471702679,1,1
5805,1449287890,438149788,404422729,134850151,471865219,1,1
5806,1449787204,438300743,404562067,134896605,472027787,1,1
5807,1450286607,438451724,404701430,134943067,472190383,1,1
5808,1450786108,438602734,404840821,134989537,472353013,1,1
5809,1451285677,438753766,404980230,135036015,472515663,1,1
5810,1451785344,438904827,405119667,135082501,472678347,1,1
5811,1452285088,439055911,405259125,135128995,472841054,1,1
5812,1452784939,439207027,405398614,135175497,473003799,1,1
5813,1453284855,439358163,405538120,135222007,473166562,1,1
5814,1453784857,439509326,405677650,135268525,473329353,1,1
5815,1454284951,439660516,405817206,135315051,473492175,1,1
5816,1454785131,439811732,405956786,135361585,473655025,1,1
5817,1455285406,439962976,406096393,135408127,473817907,1,1
5818,1455785746,440114241,406236017,135454677,473980808,1,1
5819,1456286193,440265537,406375672,135501235,474143746,1,1
5820,1456786711,440416856,406515346,135547801,474306705,1,1
5821,1457287330,440568204,406655049,135594375,474469699,1,1
5822,1457788026,440719576,406794773,135640957,474632717,1,1
5823,1458288799,440870972,406934518,135687547,474795759,1,1
5824,1458789670,441022397,407074291,135734145,474958835,1,1
5825,1459290630,441173848,407214089,135780751,475121939,1,1
5826,1459791655,441325321,407353904,135827365,475285063,1,1
5827,1460292808,441476829,407493757,135873987,475448233,1,1
5828,1460793996,441628351,407633617,135920617,475611408,1,1
5829,1461295300,441779907,407773511,135967255,475774625,1,1
5830,1461796690,441931488,407913429,136013901,475937869,1,1
5831,1462298160,442083094,408053369,136060555,476101139,1,1
5832,1462799716,442234726,408193333,136107217,476264437,1,1
5833,1463301343,442386381,408333316,136153887,476427757,1,1
5834,1463803071,442538065,408473328,136200565,476591111,1,1
5835,1464304900,442689778,408613369,136247251,476754499,1,1
5836,1464806794,442841513,408753427,136293945,476917907,1,1
5837,1465308786,442993276,408893513,136340647,477081347,1,1
5838,1465810861,443145065,409033622,136387357,477244815,1,1
5839,1466313013,443296877,409173752,136434075,477408306,1,1
5840,1466815263,443448719,409313910,136480801,477571831,1,1
5841,1467317599,443600586,409454092,136527535,477735383,1,1
5842,1467820000,443752475,409594291,136574277,477898955,1,1
5843,1468322514,443904395,409734523,136621027,478062566,1,1
5844,1468825096,444056338,409874773,136667785,478226197,1,1
5845,1469327761,444208306,410015046,136714551,478389855,1,1
5846,1469830524,444360303,410155347,136761325,478553547,1,1
5847,1470333367,444512324,410295670,136808107,478717263,1,1
5848,1470836308,444664374,410436021,136854897,478881013,1,1
5849,1471339308,444816444,410576387,136901695,479044779,1,1
5850,1471842421,444968546,410716786,136948501,479208585,1,1
5851,1472345623,445120675,410857210,136995315,479372421,1,1
5852,1472848902,445272827,410997655,137042137,479536280,1,1
5853,1473352258,445425004,411138121,137088967,479700163,1,1
5854,1473855697,445577206,411278610,137135805,479864073,1,1
5855,1474359231,445729436,411419126,137182651,480028015,1,1
5856,1474862851,445881692,411559666,137229505,480191985,1,1
5857,1475366575,446033978,411700236,137276367,480355991,1,1
5858,1475870352,446186283,411840819,137323237,480520011,1,1
5859,1476374233,446338617,411981432,137370115,480684066,1,1
5860,1476878203,446490979,412122070,137417001,480848151,1,1
5861,1477382262,446643367,412262733,137463895,481012265,1,1
5862,1477886380,446795775,412403411,137510797,481176395,1,1
5863,1478390602,446948213,412544119,137557707,481340561,1,1
5864,1478894919,447100679,412684854,137604625,481504759,1,1
5865,1479399304,447253167,412825607,137651551,481668977,1,1
5866,1479903790,447405684,412966389,137698485,481833229,1,1
5867,1480408359,447558227,413107194,137745427,481997509,1,1
5868,1480913011,447710795,413248022,137792377,482161815,1,1
5869,1481417728,447863384,413388867,137839335,482326139,1,1
5870,1481922573,448016009,413529750,137886301,482490511,1,1
5871,1482427462,448168650,413670643,137933275,482654891,1,1
5872,1482932467,448321324,413811570,137980257,482819313,1,1
5873,1483437549,448474022,413952518,138027247,482983759,1,1
5874,1483942714,448626745,414093489,138074245,483148232,1,1
5875,1484447971,448779496,414234486,138121251,483312735,1,1
5876,1484953320,448932274,414375509,138168265,483477269,1,1
