Number of digits (n),Total Primitive Operations,Assignments,Comparisons,Additions,Subtractions,Multiplications,Divisions,Modulos,MethodCalls,Returns
130,183481,64623,26151,12325,4930,14791,21219,7395,19721,12326
131,181161,63837,25843,12155,4862,14587,20979,7293,19449,12156
132,191557,67473,27306,12865,5146,15439,22158,7719,20585,12866
133,190037,66900,27062,12780,5112,15337,21948,7668,20449,12781
134,191813,67513,27306,12905,5162,15487,22142,7743,20649,12906
135,190833,67276,27245,12790,5116,15349,22127,7674,20465,12791
136,195649,68936,27905,13130,5252,15757,22651,7878,21009,13131
137,198677,69966,28310,13350,5340,16021,22968,8010,21361,13351
138,199109,70182,28418,13350,5340,16021,23076,8010,21361,13351
139,199209,70221,28435,13355,5342,16027,23091,8013,21369,13356
140,204905,72189,29219,13755,5502,16507,23715,8253,22009,13756
141,207321,73034,29559,13920,5568,16705,23989,8352,22273,13921
142,212001,74648,30201,14250,5700,17101,24499,8550,22801,14251
143,211757,74581,30180,14225,5690,17071,24488,8535,22761,14226
144,211325,74486,30160,14170,5668,17005,24490,8502,22673,14171
145,219097,77118,31191,14740,5896,17689,25293,8844,23585,14741
146,220313,77605,31407,14795,5918,17755,25487,8877,23673,14796
147,224453,79048,31986,15080,6032,18097,25952,9048,24129,15081
148,223521,78780,31897,14990,5996,17989,25899,8994,23985,14991
149,224241,79063,32021,15025,6010,18031,26009,9015,24041,15026
150,226857,79975,32387,15205,6082,18247,26303,9123,24329,15206
151,227669,80271,32510,15255,6102,18307,26406,9153,24409,15256
152,233813,82441,33390,15665,6266,18799,27122,9399,25065,15666
153,237137,83531,33805,15925,6370,19111,27433,9555,25481,15926
154,234797,82713,33476,15765,6306,18919,27168,9459,25225,15766
155,240093,84635,34272,16095,6438,19315,27832,9657,25753,16096
156,235133,82947,33608,15735,6294,18883,27312,9441,25177,15736
157,244193,86113,34881,16355,6542,19627,28337,9813,26169,16356
158,240425,84790,34347,16100,6440,19321,27905,9660,25761,16101
159,246825,87044,35259,16530,6612,19837,28645,9918,26449,16531
160,250893,88429,35804,16825,6730,20191,29072,10095,26921,16826
161,254089,89532,36243,17050,6820,20461,29421,10230,27281,17051
162,256221,90367,36608,17155,6862,20587,29744,10293,27449,17156
163,255813,90174,36514,17150,6860,20581,29652,10290,27441,17151
164,258169,91033,36871,17295,6918,20755,29951,10377,27673,17296
165,257369,90809,36799,17215,6886,20659,29911,10329,27545,17216
166,264425,93193,37731,17735,7094,21283,30635,10641,28377,17736
167,263605,92992,37678,17640,7056,21169,30620,10584,28225,17641
168,269809,95148,38541,18070,7228,21685,31311,10842,28913,18071
169,265245,93603,37936,17735,7094,21283,30840,10641,28377,17736
170,272749,96200,38972,18260,7304,21913,31666,10956,29217,18261
171,272257,96020,38897,18230,7292,21877,31603,10938,29169,18231
172,278369,98174,39769,18640,7456,22369,32311,11184,29825,18641
173,280733,98971,40080,18815,7526,22579,32552,11289,30105,18816
174,283345,99969,40509,18955,7582,22747,32925,11373,30329,18956
175,281757,99450,40312,18830,7532,22597,32778,11298,30129,18831
176,293205,103381,41870,19645,7858,23575,34010,11787,31433,19646
177,291509,102797,41638,19525,7810,23431,33826,11715,31241,19526
178,289977,102284,41439,19410,7764,23293,33673,11646,31057,19411
179,297345,104857,42473,19915,7966,23899,34505,11949,31865,19916
180,300617,105954,42899,20160,8064,24193,34833,12096,32257,20161
181,301717,106339,43054,20235,8094,24283,34958,12141,32377,20236
182,305589,107769,43654,20465,8186,24559,35466,12279,32745,20466
183,307429,108436,43930,20580,8232,24697,35696,12348,32929,20581
184,310809,109576,44375,20830,8332,24997,36041,12498,33329,20831
185,315545,111207,45023,21165,8466,25399,36555,12699,33865,21166
186,315305,111208,45051,21110,8444,25333,36605,12666,33777,21111
187,324161,114239,46249,21745,8698,26095,37549,13047,34793,21746
188,325513,114739,46459,21825,8730,26191,37727,13095,34921,21826
189,325081,114600,46407,21790,8716,26149,37689,13074,34865,21791
190,332445,117171,47440,22295,8918,26755,38520,13377,35673,22296
191,330861,116643,47236,22175,8870,26611,38364,13305,35481,22176
192,339829,119785,48502,22785,9114,27343,39386,13671,36457,22786
193,342337,120687,48873,22945,9178,27535,39693,13767,36713,22946
194,341913,120530,48807,22920,9168,27505,39637,13752,36673,22921
195,350137,123454,49999,23460,9384,28153,40613,14076,37537,23461
196,350305,123417,49953,23515,9406,28219,40545,14109,37625,23516
197,343389,121092,49048,23000,9200,27601,39846,13800,36801,23001
198,360129,126899,51369,24165,9666,28999,41701,14499,38665,24166
199,359285,126565,51222,24125,9650,28951,41570,14475,38601,24126
200,359421,126699,51304,24095,9638,28915,41664,14457,38553,24096
201,359389,126683,51296,24095,9638,28915,41656,14457,38553,24096
202,370401,130517,52833,24855,9942,29827,42889,14913,39769,24856
203,369401,130193,52711,24775,9910,29731,42799,14865,39641,24776
204,371997,131128,53096,24940,9976,29929,43118,14964,39905,24941
205,378865,133550,54077,25400,10160,30481,43915,15240,40641,25401
206,376065,132590,53697,25200,10080,30241,43615,15120,40321,25201
207,377561,133129,53919,25295,10118,30355,43799,15177,40473,25296
