Number of digits (n),Total Primitive Operations,Assignments,Comparisons,Additions,Subtractions,Multiplications,Divisions,Modulos,MethodCalls,Returns
5820,75250377,26622579,10810699,5001185,2000474,6001423,8810223,3000711,8001897,5001186
5821,75335425,26651177,10821833,5007515,2003006,6009019,8818825,3004509,8012025,5007516
5822,75256825,26624351,10811255,5001845,2000738,6002215,8810515,3001107,8002953,5001846
5823,75315429,26644996,10819610,5005780,2002312,6006937,8817296,3003468,8009249,5005781
5824,75362189,26661490,10826292,5008910,2003564,6010693,8822726,3005346,8014257,5008911
5825,75360589,26661273,10826316,5008645,2003458,6010375,8822856,3005187,8013833,5008646
5826,75462797,26696075,10840012,5016055,2006422,6019267,8833588,3009633,8025689,5016056
5827,75486613,26703715,10842862,5017995,2007198,6021595,8835662,3010797,8028793,5017996
5828,75474281,26700420,10841867,5016690,2006676,6020029,8835189,3010014,8026705,5016691
5829,75488865,26705391,10843825,5017745,2007098,6021295,8836725,3010647,8028393,5017746
5830,75483817,26704561,10843795,5016975,2006790,6020371,8837003,3010185,8027161,5016976
5831,75541121,26724853,10852041,5020775,2008310,6024931,8843729,3012465,8033241,5020776
5832,75604337,26745725,10860037,5025655,2010262,6030787,8849773,3015393,8041049,5025656
5833,75573793,26734699,10855489,5023725,2009490,6028471,8845997,3014235,8037961,5023726
5834,75690513,26775998,10872261,5031480,2012592,6037777,8859667,3018888,8050369,5031481
5835,75696965,26777200,10872402,5032400,2012960,6038881,8859440,3019440,8051841,5032401
5836,75634925,26758346,10865740,5026870,2010748,6032245,8854990,3016122,8042993,5026871
5837,75751909,26798193,10881426,5035345,2014138,6042415,8867286,3021207,8056553,5035346
5838,75763113,26802189,10883059,5036075,2014430,6043291,8868627,3021645,8057721,5036076
5839,75784997,26808984,10885514,5037960,2015184,6045553,8870328,3022776,8060737,5037961
5840,75789493,26811023,10886486,5038055,2015222,6045667,8871262,3022833,8060889,5038056
5841,75814105,26820007,10890223,5039565,2015826,6047479,8874395,3023739,8063305,5039566
5842,75933521,26860432,10906053,5048330,2019332,6057997,8886719,3028998,8077329,5048331
5843,75791157,26812372,10887278,5037820,2015128,6045385,8872148,3022692,8060513,5037821
5844,75802973,26816498,10888936,5038630,2015452,6046357,8873482,3023178,8061809,5038631
5845,75803073,26818187,10890153,5037885,2015154,6045463,8874997,3022731,8060617,5037886
5846,76006377,26887664,10917579,5052510,2021004,6063013,8896573,3031506,8084017,5052511
5847,75968281,26874369,10912239,5049895,2019958,6059875,8892279,3029937,8079833,5049896
5848,76061837,26906572,10925028,5056520,2022608,6067825,8902418,3033912,8090433,5056521
5849,76083153,26912951,10927245,5058465,2023386,6070159,8903857,3035079,8093545,5058466
5850,76083833,26913841,10927815,5058215,2023286,6069859,8904527,3034929,8093145,5058216
5851,76011153,26889535,10918397,5052745,2021098,6063295,8897297,3031647,8084393,5052746
5852,76072693,26910680,10926782,5057120,2022848,6068545,8903932,3034272,8091393,5057121
5853,76125917,26928591,10933760,5061075,2024430,6073291,8909328,3036645,8097721,5061076
5854,76045913,26902240,10923687,5054870,2021948,6065845,8901737,3032922,8087793,5054871
5855,76119949,26927807,10933868,5060075,2024030,6072091,8909836,3036045,8096121,5060076
5856,76309513,26993846,10960355,5073140,2029256,6087769,8931097,3043884,8117025,5073141
5857,76215913,26961434,10947419,5066600,2026640,6079921,8920777,3039960,8106561,5066601
5858,76214045,26960786,10947160,5066470,2026588,6079765,8920570,3039882,8106353,5066471
5859,76256509,26974263,10952136,5069995,2027998,6083995,8924136,3041997,8111993,5069996
5860,76299321,26989377,10958263,5072855,2029142,6087427,8929119,3043713,8116569,5072856
5861,76336433,27003258,10964141,5074980,2029992,6089977,8934147,3044988,8119969,5074981
5862,76306033,26992062,10959453,5073160,2029264,6087793,8930187,3043896,8117057,5073161
5863,76284573,26986447,10957808,5070835,2028334,6085003,8929472,3042501,8113337,5070836
5864,76451565,27043862,10980588,5082690,2033076,6099229,8947510,3049614,8132305,5082691
5865,76344921,27007238,10966071,5075100,2030040,6090121,8936029,3045060,8120161,5075101
5866,76446049,27042996,10980585,5081830,2032732,6098197,8947851,3049098,8130929,5081831
5867,76504789,27061740,10987542,5086660,2034664,6103993,8952876,3051996,8138657,5086661
5868,76518361,27068053,10990591,5086875,2034750,6104251,8955839,3052125,8139001,5086876
5869,76496149,27059521,10986910,5085705,2034282,6102847,8952626,3051423,8137129,5085706
5870,76472837,27052386,10984370,5083650,2033460,6100381,8950908,3050190,8133841,5083651
5871,76595709,27094187,11000808,5092575,2037030,6111091,8963776,3055545,8148121,5092576
5872,76613209,27101221,11003935,5093355,2037342,6112027,8966591,3056013,8149369,5093356
5873,76634765,27107863,11006316,5095235,2038094,6114283,8968220,3057141,8152377,5095236
5874,76624369,27103721,11004485,5094755,2037902,6113707,8966581,3056853,8151609,5094756
5875,76631549,27107553,11006456,5094645,2037858,6113575,8968596,3056787,8151433,5094646
5876,76757425,27151065,11023797,5103475,2041390,6124171,8982405,3062085,8165561,5103476
5877,76682569,27125957,11014043,5097875,2039150,6117451,8974891,3058725,8156601,5097876
5878,76816681,27171706,11032075,5107560,2043024,6129073,8989049,3064536,8172097,5107561
5879,76764717,27153952,11025068,5103820,2041528,6124585,8983538,3062292,8166113,5103821
5880,76767301,27154210,11024962,5104290,2041716,6125149,8983244,3062574,8166865,5104291
5881,76819681,27173261,11032865,5107535,2043014,6129043,8989849,3064521,8172057,5107536
5882,76952137,27219634,11051539,5116560,2046624,6139873,9004913,3069936,8186497,5116561
5883,76878009,27194527,11041703,5111125,2044450,6133351,8997251,3066675,8177801,5111126
5884,76918181,27207276,11046410,5114460,2045784,6137353,9000624,3068676,8183137,5114461
5885,76958733,27221403,11052076,5117255,2046902,6140707,9005172,3070353,8187609,5117256
5886,76945417,27217913,11051051,5115815,2046326,6138979,9004723,3069489,8185305,5115816
5887,77055397,27255017,11065538,5123945,2049578,6148735,9015958,3074367,8198313,5123946
5888,77066301,27258808,11067056,5124700,2049880,6149641,9017174,3074820,8199521,5124701
5889,77027577,27246915,11062807,5121305,2048522,6145567,9014283,3072783,8194089,5121306
5890,77026249,27245261,11061755,5121755,2048702,6146107,9013051,3073053,8194809,5121756
5891,77009933,27241778,11061076,5119630,2047852,6143557,9013222,3071778,8191409,5119631
5892,77242457,27319595,11091247,5137105,2054842,6164527,9036403,3082263,8219369,5137106
5893,77040921,27251959,11064959,5122045,2048818,6146455,9016139,3073227,8195273,5122046
5894,77046045,27252794,11064984,5122830,2049132,6147397,9015850,3073698,8196529,5122831
5895,77262305,27329079,11095889,5137305,2054922,6164767,9040965,3082383,8219689,5137306
5896,77318113,27348029,11103329,5141375,2056550,6169651,9046777,3084825,8226201,5141376
5897,77246469,27322305,11092762,5136785,2054714,6164143,9038046,3082071,8218857,5136786
5898,77168241,27296523,11082901,5130725,2052290,6156871,9030609,3078435,8209161,5130726
5899,77292097,27339377,11099993,5139395,2055758,6167275,9044233,3083637,8223033,5139396
5900,77210509,27311717,11089148,5133425,2053370,6160111,9035776,3080055,8213481,5133426
5901,77325145,27350753,11104511,5141735,2056694,6170083,9047815,3085041,8226777,5141736
5902,77394513,27374668,11114021,5146630,2058652,6175957,9055367,3087978,8234609,5146631
5903,77361097,27364142,11110163,5143820,2057528,6172585,9052633,3086292,8230113,5143821
5904,77387101,27373162,11113768,5145630,2058252,6174757,9055514,3087378,8233009,5145631
5905,77246173,27324049,11094064,5135925,2054370,6163111,9039692,3081555,8217481,5135926
5906,77368285,27366240,11110872,5144500,2057800,6173401,9053070,3086700,8231201,5144501
5907,77499981,27412739,11129724,5153295,2061318,6183955,9068404,3091977,8245273,5153296
5908,77564461,27434925,11138532,5157865,2063146,6189439,9075384,3094719,8252585,5157866
5909,77470641,27402359,11125509,5151345,2060538,6181615,9064969,3090807,8242153,5151346
5910,77538145,27426178,11135161,5155860,2062344,6187033,9072815,3093516,8249377,5155861
5911,77520797,27419836,11132520,5154800,2061920,6185761,9070598,3092880,8247681,5154801
5912,77602853,27448742,11144218,5160310,2064124,6192373,9080092,3096186,8256497,5160311
5913,77604341,27449002,11144238,5160530,2064212,6192637,9080024,3096318,8256849,5160531
5914,77674097,27473474,11154109,5165260,2066104,6198313,9088003,3099156,8264417,5165261
5915,77733461,27494521,11162670,5169185,2067674,6203023,9094994,3101511,8270697,5169186
5916,77634565,27461100,11149602,5161900,2064760,6194281,9084840,3097140,8259041,5161901
5917,77690313,27480229,11157179,5165875,2066350,6199051,9090827,3099525,8265401,5165876
5918,77666873,27472359,11154119,5164125,2065650,6196951,9088467,3098475,8262601,5164126
5919,77809873,27520924,11173189,5174550,2069820,6209461,9103367,3104730,8279281,5174551
5920,77763105,27505702,11167433,5170840,2068336,6205009,9099095,3102504,8273345,5170841
5921,77823593,27525287,11174803,5175685,2070274,6210823,9104527,3105411,8281097,5175686
5922,77940933,27567622,11192258,5183110,2073244,6219733,9119012,3109866,8292977,5183111
5923,77901505,27552792,11185953,5180890,2072356,6217069,9113595,3108534,8289425,5180891
5924,77817925,27524928,11175186,5174560,2069824,6209473,9105360,3104736,8279297,5174561
5925,77980985,27580663,11197191,5186285,2074514,6223543,9122675,3111771,8298057,5186286
5926,78005025,27588745,11200337,5188075,2075230,6225691,9125105,3112845,8300921,5188076
5927,77916053,27559681,11189310,5181065,2072426,6217279,9116882,3108639,8289705,5181066
5928,78104601,27624112,11214743,5194630,2077852,6233557,9136889,3116778,8311409,5194631
5929,78003325,27590733,11201976,5186785,2074714,6224143,9127260,3112071,8298857,5186786
5930,77918037,27560937,11189998,5180945,2072378,6217135,9117618,3108567,8289513,5180946
5931,78102997,27623948,11214806,5194340,2077736,6233209,9137068,3116604,8310945,5194341
5932,78008249,27592469,11202679,5187115,2074846,6224539,9127831,3112269,8299385,5187116
5933,78172313,27647309,11223919,5199475,2079790,6239371,9144127,3119685,8319161,5199476
5934,78073189,27616337,11212658,5191025,2076410,6229231,9136246,3114615,8305641,5191026
5935,78080241,27618312,11213293,5191730,2076692,6230077,9136599,3115038,8306769,5191731
5936,78152189,27642285,11222552,5197185,2078874,6236623,9143676,3118311,8315497,5197186
5937,78180341,27652291,11226630,5199035,2079614,6238843,9147014,3119421,8318457,5199036
5938,78209705,27662474,11230699,5201080,2080432,6241297,9150265,3120648,8321729,5201081
5939,78253809,27677497,11236613,5204275,2081710,6245131,9154901,3122565,8326841,5204276
5940,78259465,27679632,11237523,5204590,2081836,6245509,9155685,3122754,8327345,5204591
5941,78259749,27679774,11237594,5204590,2081836,6245509,9155756,3122754,8327345,5204591
5942,78355401,27712288,11250371,5211550,2084620,6253861,9165749,3126930,8338481,5211551
5943,78294717,27692506,11242880,5206750,2082700,6248101,9160178,3124050,8330801,5206751
5944,78450897,27746000,11264037,5217930,2087172,6261517,9176863,3130758,8348689,5217931
5945,78433097,27740598,11262131,5216340,2086536,6259609,9175593,3129804,8346145,5216341
5946,78506773,27766172,11272358,5221460,2088584,6265753,9183772,3132876,8354337,5221461
5947,78430881,27740535,11262337,5215865,2086346,6259039,9175989,3129519,8345385,5215866
5948,78498225,27762206,11270445,5221320,2088528,6265585,9181915,3132792,8354113,5221321
5949,78513533,27768133,11273016,5222105,2088842,6266527,9184172,3133263,8355369,5222106
5950,78397213,27730169,11258624,5212925,2085170,6255511,9173452,3127755,8340681,5212926
5951,78563061,27787562,11281518,5224530,2089812,6269437,9191704,3134718,8359249,5224531
5952,78572177,27789524,11281909,5225710,2090284,6270853,9191623,3135426,8361137,5225711
5953,78704313,27835583,11300391,5234805,2093922,6281767,9206467,3140883,8375689,5234806
5954,78524385,27773207,11275473,5222265,2088906,6266719,9186565,3133359,8355625,5222266
5955,78610825,27804162,11288163,5227840,2091136,6273409,9197025,3136704,8364545,5227841
5956,78602597,27800444,11286394,5227660,2091064,6273193,9195328,3136596,8364257,5227661
5957,78686613,27829879,11298254,5233375,2093350,6280051,9204902,3140025,8373401,5233376
5958,78681697,27829126,11298265,5232600,2093040,6279121,9205223,3139560,8372161,5232601
5959,78644069,27815801,11292850,5230105,2092042,6276127,9200806,3138063,8368169,5230106
5960,78752325,27852362,11307138,5238090,2095236,6285709,9211900,3142854,8380945,5238091
5961,78753009,27853122,11307613,5237900,2095160,6285481,9212451,3142740,8380641,5237901
5962,78781849,27862944,11311479,5239990,2095996,6287989,9215481,3143994,8383985,5239991
5963,78727037,27844470,11304272,5235930,2094372,6283117,9209898,3141558,8377489,5235931
5964,78815121,27874839,11316349,5242145,2096858,6290575,9219489,3145287,8387433,5242146
5965,78901801,27905969,11329139,5247695,2099078,6297235,9230059,3148617,8396313,5247696
5966,78911533,27909141,11330340,5248465,2099386,6298159,9230952,3149079,8397545,5248466
5967,78855233,27889604,11322529,5244550,2097820,6293461,9224707,3146730,8391281,5244551
5968,78800185,27870363,11314791,5240785,2096314,6288943,9218475,3144471,8385257,5240786
5969,78950301,27923300,11336232,5250840,2100336,6301009,9235894,3150504,8401345,5250841
5970,78931221,27916906,11333750,5249410,2099764,6299293,9233984,3149646,8399057,5249411
5971,78938865,27918946,11334365,5250220,2100088,6300265,9234275,3150132,8400353,5250221
5972,78981845,27934815,11341022,5252775,2101110,6303331,9239910,3151665,8404441,5252776
5973,78994229,27939181,11342790,5253605,2101442,6304327,9241346,3152163,8405769,5253606
5974,78987837,27936150,11341312,5253530,2101412,6304237,9239898,3152118,8405649,5253531
5975,79074377,27965362,11352723,5259920,2103968,6311905,9248753,3155952,8415873,5259921
5976,79051981,27959246,11350820,5257610,2103044,6309133,9247774,3154566,8412177,5257611
5977,79127841,27985263,11361121,5263025,2105210,6315631,9255909,3157815,8420841,5263026
5978,79135257,27987024,11361559,5263910,2105564,6316693,9255993,3158346,8422257,5263911
5979,79155089,27995026,11365125,5264780,2105912,6317737,9259211,3158868,8423649,5264781
5980,79230241,28021679,11375969,5269745,2107898,6323695,9268069,3161847,8431593,5269746
5981,79252149,28030158,11379646,5270870,2108348,6325045,9271296,3162522,8433393,5270871
5982,79240469,28025165,11377342,5270485,2108194,6324583,9269146,3162291,8432777,5270486
5983,79199933,28011519,11372024,5267475,2106990,6320971,9265032,3160485,8427961,5267476
5984,79295901,28044642,11385208,5274230,2109692,6329077,9275514,3164538,8438769,5274231
5985,79328949,28056304,11389934,5276440,2110576,6331729,9279356,3165864,8442305,5276441
5986,79416921,28087024,11402279,5282470,2112988,6338965,9289289,3169482,8451953,5282471
5987,79415437,28085864,11401604,5282660,2113064,6339193,9288538,3169596,8452257,5282661
5988,79510617,28118450,11414487,5289480,2115792,6347377,9298693,3173688,8463169,5289481
5989,79435545,28093619,11404959,5283705,2113482,6340447,9291475,3170223,8453929,5283706
5990,79405949,28083166,11400720,5281730,2112692,6338077,9288026,3169038,8450769,5281731
5991,79351701,28064248,11393126,5278000,2111200,6333601,9281924,3166800,8444801,5278001
5992,79548353,28132742,11420593,5291560,2116624,6349873,9303967,3174936,8466497,5291561
5993,79601113,28150663,11427631,5295405,2118162,6354487,9309467,3177243,8472649,5295406
5994,79567137,28139406,11423305,5292800,2117120,6351361,9306183,3175680,8468481,5292801
5995,79535005,28129346,11419640,5290070,2116028,6348085,9303610,3174042,8464113,5290071
5996,79641989,28165744,11433954,5297840,2119136,6357409,9314816,3178704,8476545,5297841
5997,79592137,28149354,11427699,5293960,2117584,6352753,9310113,3176376,8470337,5293961
5998,79593797,28149832,11427858,5294120,2117648,6352945,9310208,3176472,8470593,5294121
5999,79585145,28147233,11426951,5293335,2117334,6352003,9309615,3176001,8469337,5293336
6000,79739117,28200349,11448084,5304185,2121674,6365023,9326408,3182511,8486697,5304186
6001,79651921,28169709,11435709,5298295,2119318,6357955,9316389,3178977,8477273,5298296
6002,79726361,28197161,11447215,5302735,2121094,6363283,9326119,3181641,8484377,5302736
6003,79734661,28199892,11448258,5303380,2121352,6364057,9326904,3182028,8485409,5303381
6004,79792077,28219239,11455804,5307635,2123054,6369163,9332748,3184581,8492217,5307636
6005,79901137,28257115,11470957,5315205,2126082,6378247,9344873,3189123,8504329,5315206
6006,79741713,28202637,11449453,5303735,2121494,6364483,9327957,3182241,8485977,5303736
6007,79828597,28232593,11461366,5309865,2123946,6371839,9337418,3185919,8495785,5309866
6008,79858273,28242206,11464985,5312240,2124896,6374689,9340087,3187344,8499585,5312241
6009,80102493,28327246,11499080,5329090,2131636,6394909,9367442,3197454,8526545,5329091
6010,80011309,28295492,11486348,5322800,2129120,6387361,9357226,3193680,8516481,5322801
6011,79875545,28250160,11468807,5312550,2125020,6375061,9343785,3187530,8500081,5312551
6012,80064257,28314816,11494385,5326050,2130420,6391261,9363963,3195630,8521681,5326051
6013,79982437,28287062,11483498,5320070,2128028,6384085,9355468,3192042,8512113,5320071
6014,80036689,28305817,11490973,5323875,2129550,6388651,9361421,3194325,8518201,5323876
6015,80040685,28307375,11491652,5324075,2129630,6388891,9362020,3194445,8518521,5324076
6016,80092729,28326489,11499639,5327215,2130886,6392659,9368751,3196329,8523545,5327216
6017,80125969,28337653,11503981,5329695,2131878,6395635,9372101,3197817,8527513,5329696
6018,80151657,28344722,11506203,5332320,2132928,6398785,9373273,3199392,8531713,5332321
6019,80112561,28332368,11501661,5329050,2131620,6394861,9370039,3197430,8526481,5329051
6020,80215681,28368803,11516441,5335925,2134370,6403111,9382069,3201555,8537481,5335926
6021,80216353,28369249,11516689,5335875,2134350,6403051,9382337,3201525,8537401,5335876
6022,80148637,28346215,11507632,5330955,2132382,6397147,9375248,3198573,8529529,5330956
6023,80361829,28420251,11537250,5345755,2138302,6414907,9398946,3207453,8553209,5345756
6024,80235673,28376005,11519407,5337195,2134878,6404635,9384527,3202317,8539513,5337196
6025,80315393,28402841,11529865,5343115,2137246,6411739,9392617,3205869,8548985,5343116
6026,80353425,28416456,11535445,5345570,2138228,6414685,9397215,3207342,8552913,5345571
6027,80382405,28426227,11539258,5347715,2139086,6417259,9400170,3208629,8556345,5347716
6028,80467213,28456443,11551596,5353255,2141302,6423907,9410292,3211953,8565209,5353256
6029,80435253,28445017,11546918,5351185,2140474,6421423,9406442,3210711,8561897,5351186
6030,80417393,28439101,11544645,5349815,2139926,6419779,9404717,3209889,8559705,5349816
6031,80430265,28443964,11546719,5350530,2140212,6420637,9406505,3210318,8560849,5350531
6032,80454693,28452834,11550394,5352050,2140820,6422461,9409572,3211230,8563281,5352051
6033,80434773,28447065,11548462,5350145,2140058,6420175,9408402,3210087,8560233,5350146
6034,80559913,28489516,11565115,5359290,2143716,6431149,9421397,3215574,8574865,5359291
6035,80576537,28495001,11567215,5360575,2144230,6432691,9422983,3216345,8576921,5360576
6036,80641309,28517927,11576528,5364875,2145950,6437851,9430576,3218925,8583801,5364876
6037,80604389,28506166,11572170,5361830,2144732,6434197,9427436,3217098,8578929,5361831
6038,80631937,28515045,11575497,5364055,2145622,6436867,9429873,3218433,8582489,5364056
6039,80659725,28524572,11579268,5366040,2146416,6439249,9432850,3219624,8585665,5366041
6040,80639221,28518984,11577534,5363920,2145568,6436705,9431964,3218352,8582273,5363921
6041,80752589,28557672,11592788,5372100,2148840,6446521,9443946,3223260,8595361,5372101
6042,80691677,28535169,11583344,5368485,2147394,6442183,9435948,3221091,8589577,5368486
6043,80770913,28563930,11595257,5373420,2149368,6448105,9445887,3224052,8597473,5373421
6044,80672869,28528812,11580858,5367100,2146840,6440521,9434016,3220260,8587361,5367101
6045,80840321,28587645,11604617,5378415,2151366,6454099,9453249,3227049,8605465,5378416
6046,80829541,28585280,11604122,5377040,2150816,6452449,9453304,3226224,8603265,5377041
6047,80783173,28569796,11598130,5373540,2149416,6448249,9448712,3224124,8597665,5373541
6048,80913897,28613026,11614715,5383600,2153440,6460321,9461273,3230160,8613761,5383601
6049,80861745,28595607,11607973,5379665,2151866,6455599,9456105,3227799,8607465,5379666
6050,80893953,28606849,11612489,5381875,2152750,6458251,9459737,3229125,8611001,5381876
6051,80902337,28610634,11614289,5382060,2152824,6458473,9461463,3229236,8611297,5382061
6052,80836749,28588400,11605572,5377260,2150904,6452713,9454666,3226356,8603617,5377261
6053,80963149,28630865,11622092,5386685,2154674,6464023,9467416,3232011,8618697,5386686
6054,81058777,28665776,11636615,5392550,2157020,6471061,9479593,3235530,8628081,5392551
6055,81100277,28679431,11641830,5395775,2158310,6474931,9483518,3237465,8633241,5395776
6056,80894725,28608940,11613922,5381100,2152440,6457321,9461480,3228660,8609761,5381101
6057,80988973,28641599,11626964,5387675,2155070,6465211,9471892,3232605,8620281,5387676
6058,81077025,28671600,11638777,5394050,2157620,6472861,9481155,3236430,8630481,5394051
6059,80920257,28618703,11618121,5382465,2152986,6458959,9465133,3229479,8611945,5382466
6060,81105849,28682921,11643735,5395455,2158182,6474547,9485551,3237273,8632729,5395456
6061,81037113,28658464,11633759,5390950,2156380,6469141,9477377,3234570,8625521,5390951
6062,81114501,28685245,11644442,5396365,2158546,6475639,9485894,3237819,8634185,5396366
6063,81102189,28682312,11643708,5394900,2157960,6473881,9485746,3236940,8631841,5394901
6064,81096609,28680193,11642801,5394595,2157838,6473515,9484961,3236757,8631353,5394596
6065,81198653,28715309,11656744,5401825,2160730,6482191,9496012,3241095,8642921,5401826
6066,81194365,28714452,11656608,5401240,2160496,6481489,9496110,3240744,8641985,5401241
6067,81284605,28745492,11668928,5407640,2163056,6489169,9505870,3244584,8652225,5407641
6068,81341925,28764923,11676546,5411835,2164734,6494203,9511810,3247101,8658937,5411836
6069,81303633,28751684,11671269,5409150,2163660,6490981,9507607,3245490,8654641,5409151
6070,81291861,28748218,11670086,5408050,2163220,6489661,9506864,3244830,8652881,5408051
6071,81262981,28738112,11666018,5406080,2162432,6487297,9503584,3243648,8649729,5406081
6072,81432141,28796886,11689540,5417810,2167124,6501373,9522414,3250686,8668497,5417811
6073,81387185,28781976,11683805,5414370,2165748,6497245,9518055,3248622,8662993,5414371
6074,81430621,28796489,11689424,5417645,2167058,6501175,9522364,3250587,8668233,5417646
6075,81571617,28845691,11709185,5427325,2170930,6512791,9538253,3256395,8683721,5427326
6076,81443381,28802550,11692382,5417790,2167116,6501349,9525264,3250674,8668465,5417791
6077,81470785,28811192,11695553,5420090,2168036,6504109,9527515,3252054,8672145,5420091
6078,81538669,28834244,11704604,5425040,2170016,6510049,9534586,3255024,8680065,5425041
6079,81604325,28857920,11714362,5429200,2171680,6515041,9542680,3257520,8686721,5429201
6080,81588345,28853439,11712919,5427605,2171042,6513127,9541875,3256563,8684169,5427606
6081,81565073,28844168,11708821,5426530,2170612,6511837,9538207,3255918,8682449,5426531
6082,81592329,28854650,11713347,5427960,2171184,6513553,9542161,3256776,8684737,5427961
6083,81654573,28876235,11721972,5432295,2172918,6518755,9549052,3259377,8691673,5432296
6084,81660473,28877964,11722559,5432850,2173140,6519421,9549417,3259710,8692561,5432851
6085,81586377,28852422,11712403,5427620,2171048,6513145,9541353,3256572,8684193,5427621
6086,81690049,28888154,11726609,5434940,2173976,6521929,9552631,3260964,8695905,5434941
6087,81735597,28904691,11733460,5437775,2175110,6525331,9558348,3262665,8700441,5437776
6088,81752785,28910634,11735829,5438980,2175592,6526777,9560235,3263388,8702369,5438981
6089,81774453,28917266,11738190,5440890,2176356,6529069,9561832,3264534,8705425,5440891
6090,81881101,28955091,11753580,5447935,2179174,6537523,9574404,3268761,8716697,5447936
6091,81890125,28958580,11755092,5448400,2179360,6538081,9575730,3269040,8717441,5448401
6092,81879893,28954619,11753374,5447875,2179150,6537451,9574222,3268725,8716601,5447876
6093,81822673,28935623,11746061,5443505,2177402,6532207,9568657,3266103,8709609,5443506
6094,81919081,28967932,11758603,5450730,2180292,6540877,9578309,3270438,8721169,5450731
6095,81894613,28960835,11756222,5448395,2179358,6538075,9576862,3269037,8717433,5448396
6096,82080693,29024967,11781718,5461535,2184614,6553843,9597102,3276921,8738457,5461536
6097,81876457,28955783,11754611,5446565,2178626,6535879,9575983,3267939,8714505,5446566
6098,81892509,28960355,11756112,5448135,2179254,6537763,9576856,3268881,8717017,5448136
6099,81931921,28974847,11762173,5450505,2180202,6540607,9581969,3270303,8720809,5450506
6100,81945505,28978955,11763617,5451725,2180690,6542071,9582925,3271035,8722761,5451726
6101,82059477,29018935,11779742,5459455,2183782,6551347,9595958,3275673,8735129,5459456
6102,81979177,28991127,11768643,5453845,2181538,6544615,9587103,3272307,8726153,5453846
6103,82100777,29033524,11785659,5462210,2184884,6554653,9600773,3277326,8739537,5462211
6104,82073901,29024618,11782236,5460150,2184060,6552181,9598174,3276090,8736241,5460151
6105,82121785,29040002,11787983,5464040,2185616,6556849,9602365,3278424,8742465,5464041
6106,82092497,29030605,11784477,5461655,2184662,6553987,9599813,3276993,8738649,5461656
6107,82143181,29048929,11792044,5464845,2185938,6557815,9606104,3278907,8743753,5464846
6108,82198125,29068415,11799972,5468475,2187390,6562171,9612580,3281085,8749561,5468476
6109,82147557,29050600,11792762,5465080,2186032,6558097,9606728,3279048,8744129,5465081
6110,82238561,29082385,11805537,5471315,2188526,6565579,9617009,3282789,8754105,5471316
6111,82237973,29081541,11804990,5471565,2188626,6565879,9616362,3282939,8754505,5471566
6112,82306017,29105520,11814697,5476130,2190452,6571357,9624243,3285678,8761809,5476131
6113,82305089,29105881,11815065,5475755,2190302,6570907,9624761,3285453,8761209,5475756
6114,82223997,29078040,11804032,5469980,2187992,6563977,9616038,3281988,8751969,5469981
6115,82268653,29093163,11809956,5473255,2189302,6567907,9620652,3283953,8757209,5473256
6116,82397617,29137339,11827429,5482485,2192994,6578983,9634433,3289491,8771977,5482486
6117,82347765,29121312,11821438,5478440,2191376,6574129,9630060,3287064,8765505,5478441
6118,82291909,29102206,11813890,5474430,2189772,6569317,9624116,3284658,8759089,5474431
6119,82356549,29123713,11822186,5479345,2191738,6575215,9630446,3287607,8766953,5479346
6120,82479269,29165823,11838866,5488095,2195238,6585715,9643626,3292857,8780953,5488096
6121,82407337,29142826,11830315,5482200,2192880,6578641,9637433,3289320,8771521,5482201
6122,82431869,29150329,11832984,5484365,2193746,6581239,9639236,3290619,8774985,5484366
6123,82520969,29181184,11845299,5490590,2196236,6588709,9649061,3294354,8784945,5490591
6124,82535217,29188781,11849205,5490375,2196150,6588451,9653053,3294225,8784601,5490376
6125,82497209,29172813,11841911,5488995,2195598,6586795,9646311,3293397,8782393,5488996
6126,82511189,29178021,11844110,5489805,2195922,6587767,9648186,3293883,8783689,5489806
6127,82721909,29251965,11873942,5504085,2201634,6604903,9672306,3302451,8806537,5504086
6128,82762681,29266015,11879527,5506965,2202786,6608359,9676739,3304179,8811145,5506966
6129,82582473,29203521,11854555,5494415,2197766,6593299,9656787,3296649,8791065,5494416
6130,82697313,29241845,11869377,5503095,2201238,6603715,9668137,3301857,8804953,5503096
6131,82646521,29227141,11864455,5498235,2199294,6597883,9665159,3298941,8797177,5498236
6132,82703985,29246094,11871709,5502680,2201072,6603217,9670635,3301608,8804289,5502681
6133,82705541,29248225,11873082,5502065,2200826,6602479,9672254,3301239,8803305,5502066
6134,82773765,29271832,11882498,5506840,2202736,6608209,9679760,3304104,8810945,5506841
6135,82765885,29268233,11880776,5506685,2202674,6608023,9678100,3304011,8810697,5506686
6136,82702537,29246525,11872187,5502155,2200862,6602587,9671323,3301293,8803449,5502156
6137,82728633,29255393,11875671,5504055,2201622,6604867,9674047,3302433,8806489,5504056
6138,82804933,29282521,11886730,5509065,2203626,6610879,9683102,3305439,8814505,5509066
6139,82808573,29283659,11887144,5509375,2203750,6611251,9683392,3305625,8815001,5509376
6140,82878585,29306873,11896071,5514735,2205894,6617683,9690175,3308841,8823577,5514736
6141,82966041,29337291,11908255,5520785,2208314,6624943,9699939,3312471,8833257,5520786
6142,82885553,29311193,11898421,5514355,2205742,6617227,9692677,3308613,8822969,5514356
6143,82946677,29332031,11906630,5518775,2207510,6622531,9699118,3311265,8830041,5518776
